track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre,duration_min,danceability_category,energy_category,valence_category,popularity_category,duration_categorys,year,category,nominee,artist,winner
3rCtueI7qBN2kZBZnXuk5K,Bonobo,Linked,Linked,54,369461,False,0.713,0.725,6,-9.951,1,0.0385,0.539,0.886,0.111,0.24,122.041,4,trip-hop,6.16,Alta,Alta,Negativa,Popularidad Media,Mucha_Duración,2019,Best Dance Recording,Linked,Bonobo,1
0ZnwzjB40zdTZrEwPvaRqG,Otnicka,Babel,Babel,60,198962,False,0.883,0.366,2,-9.731,0,0.0706,0.14,0.915,0.102,0.397,107.998,4,electro,3.32,Alta,Media,Neutral,Popularidad Media,Duración_Media,2012,Album Of The Year,Babel,Mumford & Sons,1
0ZnwzjB40zdTZrEwPvaRqG,Otnicka,Babel,Babel,60,198962,False,0.883,0.366,2,-9.731,0,0.0706,0.14,0.915,0.102,0.397,107.998,4,electronic,3.32,Alta,Media,Neutral,Popularidad Media,Duración_Media,2012,Album Of The Year,Babel,Mumford & Sons,1
3QAE1arPJAMVKt3NUqjikE,Juan Magán;Paulina Rubio;DCS,Queda poco para la PAES 2.0,Vuelve,0,213240,False,0.661,0.677,5,-6.467,1,0.0383,0.628,0.0,0.0793,0.959,174.068,4,electro,3.55,Media,Media,Positiva,Popularidad Baja,Duración_Media,1998,Best Latin Pop Performance,Vuelve,Ricky Martin,1
6dLnAfi800mKEj2xryXQLt,Luciano Pereyra,Café en casa,Vuelve,0,237986,False,0.423,0.612,2,-6.238,1,0.0376,0.155,0.0,0.109,0.32,180.027,3,folk,3.97,Media,Media,Neutral,Popularidad Baja,Duración_Media,1998,Best Latin Pop Performance,Vuelve,Ricky Martin,1
5Ky1XoRuYVahqFYxSgs1WD,William Luna,Romance Andino,Vuelve,22,235586,False,0.562,0.575,7,-8.251,1,0.034,0.625,5.87e-06,0.0963,0.357,145.077,4,guitar,3.93,Media,Media,Neutral,Popularidad Baja,Duración_Media,1998,Best Latin Pop Performance,Vuelve,Ricky Martin,1
7FNClArpU0MQIIkAU5VSwh,Daddy Yankee;Bad Bunny,Reggaeton Mix Perreito,Vuelve,5,279613,False,0.734,0.531,1,-5.662,1,0.0321,0.196,0.0,0.119,0.199,130.025,4,hip-hop,4.66,Alta,Media,Negativa,Popularidad Baja,Mucha_Duración,1998,Best Latin Pop Performance,Vuelve,Ricky Martin,1
7af1WixhIA44jYgzXU19da,Daddy Yankee;Bad Bunny,Bájale como 7500,Vuelve,2,279613,False,0.734,0.531,1,-5.662,1,0.0321,0.196,0.0,0.119,0.199,130.025,4,hip-hop,4.66,Alta,Media,Negativa,Popularidad Baja,Mucha_Duración,1998,Best Latin Pop Performance,Vuelve,Ricky Martin,1
1v1nsB6TCXuhdC4QNP4aB4,Daddy Yankee;Bad Bunny,Feliz Cumpleaños con Perreo,Vuelve,3,279613,False,0.734,0.531,1,-5.662,1,0.0321,0.196,0.0,0.119,0.199,130.025,4,hip-hop,4.66,Alta,Media,Negativa,Popularidad Baja,Mucha_Duración,1998,Best Latin Pop Performance,Vuelve,Ricky Martin,1
7FNClArpU0MQIIkAU5VSwh,Daddy Yankee;Bad Bunny,Reggaeton Mix Perreito,Vuelve,5,279613,False,0.734,0.531,1,-5.662,1,0.0321,0.196,0.0,0.119,0.199,130.025,4,latin,4.66,Alta,Media,Negativa,Popularidad Baja,Mucha_Duración,1998,Best Latin Pop Performance,Vuelve,Ricky Martin,1
